LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Cruzamento,COLISAO,4,0,0,0,0,0,0,0,0,0,08:20,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,18:30,TERCA-FEIRA,BOM,NORTE,0,0
Cruzamento,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,10:00,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,17:00,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,18:15,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,0,0,0,1,0,0,0,1,0,0,17:30,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,08:41,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,15:30,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,10:35,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,19:25,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,15:00,QUARTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,12:15,QUARTA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,09:50,QUARTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,18:30,QUARTA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,14:10,QUARTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,1,0,0,0,1,0,0,0,0,0,08:41,QUARTA-FEIRA,CHUVOSO,CENTRO,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,12:20,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,22:00,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,18:40,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,02:30,QUARTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,09:25,QUARTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,14:15,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,16:55,QUARTA-FEIRA,NUBLADO,NORTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,18:00,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,11:00,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,3,0,0,0,0,0,0,0,0,0,08:20,QUARTA-FEIRA,CHUVOSO,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,06:40,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,16:15,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,15:10,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,18:40,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,1,0,0,0,0,0,0,11:15,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,14:05,QUARTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,09:00,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:00,QUARTA-FEIRA,BOM,NORTE,0,0
