LOCAL,TIPO_ACID,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Logradouro,ABALROAMENTO,21:15,TERCA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,15:00,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,20:00,TERCA-FEIRA,BOM,LESTE,0,1
Cruzamento,ABALROAMENTO,13:22,TERCA-FEIRA,BOM,NORTE,0,0
Cruzamento,COLISAO,11:10,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,12:05,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,17:20,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,19:30,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,14:50,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,09:20,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,21:00,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,22:00,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,13:40,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,09:10,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,07:50,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,14:19,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,17:30,TERCA-FEIRA,BOM,LESTE,0,1
Cruzamento,ABALROAMENTO,18:35,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,19:30,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,14:00,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,19:45,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,22:45,TERCA-FEIRA,BOM,NORTE,0,0
