;LATITUDE;LONGITUDE
2182;-29999506.0;-51.197148999999996
2183;-30.035605;-51.195694
2184;-30.039541999999997;-51.191124
2185;-30.068720000000003;-51.188542
2186;-30.031131;-51.186654
2187;-30.023458;-51.185201
2188;-30.007824;-51.180147999999996
2189;-30.038727;-51.176429
2190;-30.014378000000004;-51.171921999999995
2191;-30.048911;-51.169872
2192;-30.027353;-51.168746999999996
2193;-30.041912;-51.154092999999996
2194;-30.064642;-51.151482
2195;-30.063097999999997;-51.150061
2196;-30.011121000000003;-51.14618
2197;-30.009527000000002;-51.145047
2198;-30.018746999999998;-51.14115
2199;-30.012112;-51.131015999999995
2200;-30.004490000000004;-51.127666999999995
2201;-29978877.0;-51.114543
2202;-29984936.0;-51.112643
2203;-29990480.0;-51.104538
2204;-30.092621;-51.242871
2205;-30.128109000000002;-51.240115
2206;-30.026587;-51.231047
2207;-30.133138;-51.230237
2208;-30.050134000000003;-51.228062
2209;-30.112067;-51.226501
2210;-30.094284000000002;-51.225668
2211;-30.137612;-51.222542
2212;-30.121646999999996;-51.221581
2213;-30.024058;-51.219471999999996
2214;-30.036428000000004;-51.219363
2215;-30.089540999999997;-51.219186
2216;-30.019672999999997;-51.214628000000005
2217;-30.083409999999997;-51.214144
2218;-30.114765999999996;-51.211794
2219;-30.067971000000004;-51.210941999999996
2220;-30.036595000000002;-51.209984999999996
2221;-30.042199;-51.205107
2222;-30.122583000000002;-51.202339
2223;-30.151627;-51.201083000000004
2224;-30.044931;-51.198637
2225;-30.017046999999998;-51.197633
2226;-30.0274;-51.19608
2227;-30.027953000000004;-51.195931
2228;-30.025142;-51.194860999999996
2229;-30.077778000000002;-51.194285
2230;-30.059283;-51.192121
2231;-30.050263;-51.191199
2232;-30.054187;-51.189299
2233;-30.084008;-51.188983
2234;-30.025839;-51.188235
2235;-30.062426000000002;-51.185611
2236;-30.016264000000003;-51.18399
2237;-30.039215000000002;-51.183741999999995
2238;-30.155007;-51.181173
2239;-30.006169;-51.178697
2240;-29987436.0;-51.178255
2241;-30.108719;-51.174932
2242;-30.055449;-51.173625
2243;-30.028615999999996;-51.173388
2244;-30.060724;-51.169025
2245;-30.031074;-51.165414
2246;-30.048883;-51.161781
2247;-30.031533000000003;-51.159552000000005
2248;-30.018485;-51.159036
2249;-30.039509000000002;-51.15401
2250;-30.066434;-51.148513
2251;-30.022824;-51.142949
2252;-30.004185999999997;-51.137857000000004
2253;-29997407.0;-51.136368
2254;-30.038858;-51.125815
2255;-29979901.0;-51.114645
2256;-29991329.0;-51.112905
2257;-29984100.0;-51.111543
2258;-29985939.0;-51.109015
2259;-30.015373999999998;-51.105299
