"ID";"LOG1";"LOG2";"PREDIAL1";"LOCAL";"TIPO_ACID";"LOCAL_VIA";"QUEDA_ARR";"DATA_HORA";"DATA";"DIA_SEM";"HORA";"FERIDOS";"FERIDOS_GR";"MORTES";"MORTE_POST";"FATAIS";"AUTO";"TAXI";"LOTACAO";"ONIBUS_URB";"ONIBUS_MET";"ONIBUS_INT";"CAMINHAO";"MOTO";"CARROCA";"BICICLETA";"OUTRO";"TEMPO";"NOITE_DIA";"FONTE";"BOLETIM";"REGIAO";"DIA";"MES";"ANO";"FX_HORA";"CONT_ACID";"CONT_VIT";"UPS";"CONSORCIO";"CORREDOR";"LONGITUDE";"LATITUDE"
602164;"AV EDGAR PIRES DE CASTRO";;1515;"Logradouro";"ABALROAMENTO";"1515 AV EDGAR PIRES DE CASTRO";0;"2015-02-01T23:53:00";"20150201";"DOMINGO";"23:53";3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"066315";"SUL";1;2;2015;23;1;1;5;;0;"-51.176236";"-30.15445"
611731;"AV EDGAR PIRES DE CASTRO";;1545;"Logradouro";"ATROPELAMENTO";"1545 AV EDGAR PIRES DE CASTRO";0;"2015-04-07T10:30:00";"20150407";"TERCA-FEIRA";"10:30";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DEPTRAN";"506115";"SUL";7;4;2015;10;1;1;5;;0;"-51.175898";"-30.154504"
609084;"AV EDGAR PIRES DE CASTRO";;1545;"Logradouro";"ABALROAMENTO";"1545 AV EDGAR PIRES DE CASTRO";0;"2015-06-08T19:00:00";"20150608";"SEGUNDA-FEIRA";"19:00";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"CHUVOSO";"NOITE";"DEPTRAN";"408215";"SUL";8;6;2015;19;1;1;5;;0;"-51.175898";"-30.154504"
610276;"AV EDGAR PIRES DE CASTRO";;1545;"Logradouro";"ABALROAMENTO";"1545 AV EDGAR PIRES DE CASTRO";0;"2015-06-19T09:35:00";"20150619";"SEXTA-FEIRA";"09:35";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;"BOM";"DIA";"EPTC";"266842";"SUL";19;6;2015;9;1;0;1;;0;"-51.175898";"-30.154504"
609196;"AV EDGAR PIRES DE CASTRO";;1574;"Logradouro";"COLISAO";"1574 AV EDGAR PIRES DE CASTRO";0;"2015-06-09T09:00:00";"20150609";"TERCA-FEIRA";"09:00";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"EPTC";"286634";"SUL";9;6;2015;9;1;0;1;;0;"-51.175647";"-30.154503"
616915;"AV EDGAR PIRES DE CASTRO";;1600;"Logradouro";"COLISAO";"1600 AV EDGAR PIRES DE CASTRO";0;"2015-10-03T13:56:00";"20151003";"SABADO";"13:56";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"687415";"SUL";3;10;2015;13;1;1;5;;0;"-51.175442";"-30.154547"
609998;"ESTR GEDEON LEITE";;1699;"Logradouro";"COLISAO";"1699 ESTR GEDEON LEITE";0;"2015-06-20T10:00:00";"20150620";"SABADO";"10:00";2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DEPTRAN";"439915";"SUL";20;6;2015;10;1;1;5;;0;"-51.178333";"-30.150607"
610778;"ESTR GEDEON LEITE";;1766;"Logradouro";"CHOQUE";"1766 ESTR GEDEON LEITE";0;"2015-06-20T06:30:00";"20150620";"SABADO";"06:30";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DDT";"0105879615";"SUL";20;6;2015;6;1;0;1;;0;"-51.177669";"-30.150357"
613333;"ESTR GEDEON LEITE";;2000;"Logradouro";"TOMBAMENTO";"2000 ESTR GEDEON LEITE";0;"2015-08-04T02:10:00";"20150804";"TERCA-FEIRA";"02:10";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DDT";"0107216415";"SUL";4;8;2015;2;1;0;1;;0;"-51.175804";"-30.149798"
618019;"ESTR GEDEON LEITE";;2000;"Logradouro";"QUEDA";"2000 ESTR GEDEON LEITE";0;"2015-10-20T11:00:00";"20151020";"TERCA-FEIRA";"11:00";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"732415";"SUL";20;10;2015;11;1;1;5;;0;"-51.175804";"-30.149798"
613734;"R DR ANTONIO MAZZAFERRO NETO";;138;"Logradouro";"COLISAO";"138 R DR ANTONIO MAZZAFERRO NETO";0;"2015-08-09T15:30:00";"20150809";"DOMINGO";"15:30";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DDT";"0107450015";"SUL";9;8;2015;15;1;0;1;;0;"-51.173819";"-30.16193"
607254;"R DR ANTONIO MAZZAFERRO NETO";;218;"Logradouro";"COLISAO";"218 R DR ANTONIO MAZZAFERRO NETO";0;"2015-05-13T18:50:00";"20150513";"QUARTA-FEIRA";"18:50";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"EPTC";"286738";"SUL";13;5;2015;18;1;0;1;;0;"-51.173832";"-30.161189"
615939;"R ELVIRA DENDENA";;379;"Logradouro";"ABALROAMENTO";"379 R ELVIRA DENDENA";0;"2015-09-04T19:20:00";"20150904";"SEXTA-FEIRA";"19:20";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"637715";"SUL";4;9;2015;19;1;1;5;;0;"-51.174002";"-30.160246"
601919;"R DR ANTONIO MAZZAFERRO NETO";;375;"Logradouro";"ATROPELAMENTO";"375 R DR ANTONIO MAZZAFERRO NETO";0;"2015-01-25T22:30:00";"20150125";"DOMINGO";"22:30";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"046115";"SUL";25;1;2015;22;1;1;5;;0;"-51.173758";"-30.159772"
614309;"R FULVIO BASTOS";;82;"Logradouro";"COLISAO";"82 R FULVIO BASTOS";0;"2015-08-20T23:15:00";"20150820";"QUINTA-FEIRA";"23:15";2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"587515";"SUL";20;8;2015;23;1;1;5;;0;"-51.174421";"-30.158465"
602734;"R DR ANTONIO MAZZAFERRO NETO";;533;"Logradouro";"ABALROAMENTO";"533 R DR ANTONIO MAZZAFERRO NETO";0;"2015-02-15T22:00:00";"20150215";"DOMINGO";"22:00";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"102815";"SUL";15;2;2015;22;1;1;5;;0;"-51.173745";"-30.158445"
615760;"AV EDGAR PIRES DE CASTRO";;1701;"Logradouro";"COLISAO";"1701 AV EDGAR PIRES DE CASTRO";0;"2015-09-12T11:20:00";"20150912";"SABADO";"11:20";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"EPTC";"283955";"SUL";12;9;2015;11;1;0;1;;0;"-51.174666";"-30.154768"
613222;"AV EDGAR PIRES DE CASTRO";"R DR ANTONIO MAZZAFERRO NETO";0;"Cruzamento";"COLISAO";"AV EDGAR PIRES DE CASTRO & R DR ANTONIO MAZZAFERRO NETO";0;"2015-07-31T19:20:00";"20150731";"SEXTA-FEIRA";"19:20";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DDT";"0107158815";"SUL";31;7;2015;19;1;0;1;;0;"-51.173761";"-30.15489"
604211;"AV EDGAR PIRES DE CASTRO";;1780;"Logradouro";"COLISAO";"1780 AV EDGAR PIRES DE CASTRO";0;"2015-03-22T13:30:00";"20150322";"DOMINGO";"13:30";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"EPTC";"283888";"SUL";22;3;2015;13;1;0;1;;0;"-51.173543";"-30.154886"
