LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SABADO,CHUVOSO,LESTE,MANHA,SIM
Logradouro,COLISAO,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Cruzamento,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,NUBLADO,NORTE,MANHA,SIM
Logradouro,COLISAO,SEGUNDA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,NUBLADO,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,QUEDA,SABADO,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,COLISAO,QUARTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,COLISAO,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,SIM
Logradouro,COLISAO,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,CAPOTAGEM,QUINTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,COLISAO,QUARTA-FEIRA,NUBLADO,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,CHUVOSO,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,TARDE,SIM
Cruzamento,ABALROAMENTO,QUINTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,NUBLADO,NORTE,TARDE,SIM
Cruzamento,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,MANHA,SIM
Cruzamento,COLISAO,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,COLISAO,QUARTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,CHOQUE,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,CHOQUE,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,COLISAO,DOMINGO,CHUVOSO,LESTE,MADRUGADA,SIM
Logradouro,CHOQUE,SEGUNDA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,CHOQUE,QUINTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,DOMINGO,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,ATROPELAMENTO,QUARTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,QUEDA,QUINTA-FEIRA,BOM,NORTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Cruzamento,ABALROAMENTO,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Cruzamento,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,LESTE,MANHA,SIM
