;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
259;-30.0731;-51.202595;1;4;3;1;0;0;0;1;7
260;-30.02763;-51.200157;0;3;3;0;0;0;0;0;0
261;-30.01813;-51.200145;1;3;3;0;0;0;0;0;9
262;-30.072547;-51.199657;0;1;3;1;0;0;0;0;0
263;-30.022896000000006;-51.199574;1;3;3;0;0;0;0;0;9
264;-30.02747;-51.197184;0;3;3;0;0;0;0;0;0
265;-30.008424;-51.19441;1;3;3;1;0;0;0;1;7
266;-30.004054;-51.192814;0;3;3;0;0;0;0;0;0
267;-30.059063;-51.191979;0;1;3;1;0;0;0;0;0
268;-30.057429;-51.191082;0;3;3;0;0;0;0;0;0
269;-30.054644;-51.169073;0;3;3;0;0;0;1;0;0
270;-30.029362;-51.165983;0;3;3;0;0;0;0;0;0
271;-29984345.0;-51.160577;1;3;3;0;0;0;0;0;6
272;-30.027544;-51.158685;0;3;3;0;0;0;0;0;0
273;-30.066407;-51.14858;1;1;3;0;0;0;0;0;8
274;-30.162212;-51.147741;1;1;3;1;0;0;0;0;1
275;-30.038351;-51.145093;1;3;3;1;0;0;0;0;9
276;-30.015983;-51.131147;1;1;3;0;0;0;0;0;8
277;-30.076072;-51.12748;0;3;3;0;0;0;0;0;0
278;-30.037871000000006;-51.122363;0;1;3;1;0;0;0;0;0
279;-30.109054;-51.254035;0;1;4;0;0;0;0;0;0
280;-30.096716;-51.233577;1;1;4;1;0;0;0;0;1
281;-30.101185;-51.230999;0;3;4;0;0;0;0;0;0
282;-30.046592;-51.22929;0;1;4;0;0;0;0;0;0
283;-30.033919;-51.227986;1;1;4;0;0;0;0;0;8
284;-30.047089;-51.222674;1;3;4;0;0;0;0;1;7
285;-30.0317;-51.219232;0;2;4;0;0;0;0;0;0
286;-30.13216;-51.218222;1;3;4;0;0;0;0;0;8
287;-30.046922;-51.217501;1;3;4;0;0;0;0;0;8
288;-30.038874;-51.217475;1;3;4;0;0;0;0;0;8
289;-30.078015;-51.208767;1;3;4;0;0;0;0;0;8
290;-30.055108;-51.207758;1;1;4;1;0;0;0;0;1
291;-30.031546;-51.205712;0;1;4;0;0;0;0;0;0
292;-30.045762;-51.205133;0;1;4;0;0;0;0;0;0
293;-30.038246;-51.201574;1;1;4;0;0;0;0;0;8
294;-30.082144;-51.201452;1;1;4;1;0;0;0;0;1
295;-30.041682;-51.20028;0;1;4;0;0;0;0;0;0
296;-30.024544;-51.199915;1;3;4;0;0;0;0;0;8
297;-29997781.0;-51.198064;1;3;4;0;0;0;0;0;6
298;-30.006505;-51.197669;1;1;4;2;0;0;0;1;7
299;-29998145.0;-51.190658;0;1;4;0;0;0;0;0;6
