LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Logradouro;COLISAO;NOITE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;CHOQUE;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;TARDE;SABADO;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;SABADO;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;NUBLADO;CENTRO;NAO
Cruzamento;ABALROAMENTO;TARDE;SABADO;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;TERCA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;NUBLADO;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;MANHA;SABADO;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;CHUVOSO;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ATROPELAMENTO;MANHA;SABADO;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;MADRUGADA;SABADO;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;CENTRO;NAO
Logradouro;CHOQUE;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;QUEDA;NOITE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ATROPELAMENTO;MADRUGADA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MADRUGADA;SABADO;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;SEGUNDA-FEIRA;CHUVOSO;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;QUEDA;TARDE;DOMINGO;BOM;SUL;NAO
Logradouro;COLISAO;NOITE;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;TERCA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;MANHA;SEXTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;CHOQUE;TARDE;TERCA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;CHOQUE;MANHA;SEGUNDA-FEIRA;NUBLADO;CENTRO;NAO
Cruzamento;CHOQUE;MANHA;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;NUBLADO;CENTRO;NAO
Cruzamento;COLISAO;TARDE;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;QUEDA;TARDE;SABADO;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;DOMINGO;BOM;CENTRO;NAO
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;CHOQUE;TARDE;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;QUARTA-FEIRA;NUBLADO;NORTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;NOITE;DOMINGO;BOM;CENTRO;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;COLISAO;MANHA;DOMINGO;BOM;SUL;NAO
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;TERCA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;CENTRO;NAO
Cruzamento;COLISAO;MANHA;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;ATROPELAMENTO;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;COLISAO;TARDE;QUINTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ATROPELAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;MANHA;TERCA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;MANHA;SABADO;CHUVOSO;SUL;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;CHOQUE;TARDE;QUARTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;CHOQUE;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;NOITE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;NOITE;SABADO;BOM;LESTE;NAO
Logradouro;CHOQUE;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;SUL;NAO
Logradouro;ATROPELAMENTO;TARDE;DOMINGO;BOM;SUL;NAO
Cruzamento;COLISAO;NOITE;SEGUNDA-FEIRA;CHUVOSO;NORTE;NAO
Logradouro;QUEDA;MANHA;DOMINGO;BOM;CENTRO;NAO
Cruzamento;CHOQUE;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;SABADO;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;NUBLADO;LESTE;NAO
